customer_id,source,medium,campaign,rank_of_source,created_account_flag,total_number_of_activities,num_of_deposits,num_of_tickets,total_deposits
100369262.2,google,organic,(not set),1,1,2,1,0,75.0
1069213108,google,cpc,propswap-search-bonsai,1,1,1,0,0,0.0
1331061693,google,organic,(not set),1,1,3,2,0,150.0
1429898513,google,organic,(not set),1,1,1,0,0,0.0
1606955818,(direct),(none),(not set),1,1,1,0,0,0.0
1661982062,yahoo,organic,(not set),1,1,3,2,0,150.0
169383050.2,google,organic,(not set),1,1,1,0,0,0.0
1705431454,google,organic,(not set),1,1,2,1,0,75.0
1727133148,t.co,referral,(not set),1,1,1,0,0,0.0
1747530429,google,organic,(not set),1,1,1,0,0,0.0
1885571698,(direct),(none),(not set),1,1,2,1,0,75.0
2009306843,(direct),(none),(not set),1,1,1,0,0,0.0
2106578903,google,organic,(not set),1,1,1,0,0,0.0
228733834.2,google,organic,(not set),1,1,1,0,0,0.0
250879282.2,google,organic,(not set),1,1,1,0,0,0.0
288585605.2,google,organic,(not set),1,1,2,1,0,75.0
288742558.2,google,organic,(not set),1,1,1,0,0,0.0
374038621.2,google,organic,(not set),1,1,1,0,0,0.0
38B78FDA-59DF-4C47-BEAC-AB3EB61C9C70,(direct),(none),(not set),1,1,1,0,0,0.0
492176464.2,(direct),(none),(not set),1,1,1,0,0,0.0
505028828.2,google,organic,(not set),1,1,1,0,0,0.0
603829669.2,google,organic,(not set),1,1,1,0,0,0.0
694724800.2,google,organic,(not set),1,1,1,0,0,0.0
772072804.2,(direct),(none),(not set),1,1,1,0,0,0.0
908666315.2,t.co,referral,(not set),1,1,1,0,0,0.0
964412641.2,google,organic,(not set),1,1,1,0,0,0.0
9962E130-19E9-49F7-8F92-26A391EBF1E2,(direct),(none),(not set),1,1,1,0,0,0.0
B86777BB-01DF-4244-ADF9-AE036260CE20,(direct),(none),(not set),1,1,1,0,0,0.0
C27EF113-A30D-4C38-9195-47F5BD779E6C,(direct),(none),(not set),1,1,1,0,0,0.0
C3790371-F127-42BF-91BF-9FD645AC4568,(direct),(none),(not set),1,1,1,0,0,0.0
C7BE4EAE-A7EF-463B-BFA0-7761ECA95502,(direct),(none),(not set),1,1,1,0,0,0.0
D1E9BA99-320F-4D1B-8F8A-99184F826BA1,(direct),(none),(not set),1,1,1,0,0,0.0
ba0469a3-b00e-411a-b4e7-0c1fdd85ae41,(direct),(none),(not set),1,1,1,0,0,0.0
05A9C10E-43C3-4552-BF91-BA23CAAD8B6F,(direct),(none),(not set),1,1,1,0,0,0.0
0D11BCCD-747E-4279-905D-3C371FF5A132,(direct),(none),(not set),1,1,1,0,0,0.0
1023554283,google,organic,(not set),1,1,1,0,0,0.0
1040059576,t.co,referral,(not set),1,1,1,0,0,0.0
1040252478,google,organic,(not set),1,1,1,0,0,0.0
1041388463,(direct),(none),(not set),1,1,1,0,0,0.0
1109343938,(direct),(none),(not set),1,1,1,0,0,0.0
1559239176,google,organic,(not set),1,1,1,0,0,0.0
1568804334,l.instagram.com,referral,(not set),1,1,1,0,0,0.0
1582932686,RotoWire,featuredtix,RWFT,1,1,1,0,0,0.0
1590088195,google,organic,(not set),1,1,1,0,0,0.0
1632337048,google,organic,(not set),1,1,2,1,0,75.0
1667785026,google,organic,(not set),1,1,1,0,0,0.0
169137215.2,t.co,referral,(not set),1,1,1,0,0,0.0
1762102738,t.co,referral,(not set),1,1,1882,4,1871,300.0
2057999809,google,organic,(not set),1,1,4,3,0,172.0
427583782.2,(direct),(none),(not set),1,1,1,0,0,0.0
495120027.2,google,organic,(not set),1,1,1,0,0,0.0
520096945.2,google,cpc,propswap-search-bonsai,1,1,1,0,0,0.0
712615441.2,google,organic,(not set),1,1,1,0,0,0.0
739526834.2,google,organic,(not set),1,1,2,1,0,75.0
79612242-950B-4CF6-9422-77D5A8DADA08,(direct),(none),(not set),1,1,1,0,0,0.0
805035967.2,google,organic,(not set),1,1,1,0,0,0.0
908311876.2,google,organic,(not set),1,1,3,0,2,0.0
B5F64032-9E58-44BF-9A1D-4ECE8BA79C86,(direct),(none),(not set),1,1,1,0,0,0.0
C132503A-601F-40DD-A407-AF0A851B7C12,(direct),(none),(not set),1,1,1,0,0,0.0
D479D902-6813-45CE-BC6D-23F9A81C19B9,(direct),(none),(not set),1,1,1,0,0,0.0
E74161D1-1124-4E92-8137-7C0851714BBF,(direct),(none),(not set),1,1,1,0,0,0.0
F696E44B-53AE-4D0B-A962-946C0F1F0227,(direct),(none),(not set),1,1,1,0,0,0.0
1004578989,google,organic,(not set),1,1,1,0,0,0.0
1098197733,google,organic,(not set),1,1,1,0,0,0.0
1282970992,google,organic,(not set),1,1,1,0,0,0.0
1454326329,(direct),(none),(not set),1,1,1,0,0,0.0
147769414.2,google,cpc,propswap-search-bonsai,1,1,1,0,0,0.0
1659689790,(direct),(none),(not set),1,1,1,0,0,0.0
1713649967,t.co,referral,(not set),1,1,1,0,0,0.0
1747991349,google,organic,(not set),1,1,1,0,0,0.0
180342240.2,google,organic,(not set),1,1,2,0,1,0.0
1804776934,google,organic,(not set),1,1,1,0,0,0.0
1825826030,google,organic,(not set),1,1,1,0,0,0.0
1902485768,(direct),(none),(not set),1,1,1,0,0,0.0
1923077273,google,cpc,propswap-search-bonsai,1,1,3,2,0,50.0
1923980887,google,organic,(not set),1,1,2,1,0,25.0
2145174805,t.co,referral,(not set),1,1,1,0,0,0.0
234043457.2,google,organic,(not set),1,1,1,0,0,0.0
256429140.2,(direct),(none),(not set),1,1,2,1,0,75.0
2E1032B2-D5AF-4C46-9520-D1546137FB8B,(direct),(none),(not set),1,1,1,0,0,0.0
3750275E-81CF-46D3-8369-BD8BF350AFE1,(direct),(none),(not set),1,1,1,0,0,0.0
41304387.16,RotoWire,featuredtix,RWFT,1,1,2,1,0,100.0
58C025F0-66B9-43F1-8841-348B9650074E,(direct),(none),(not set),1,1,1,0,0,0.0
754127769.2,google,organic,(not set),1,1,1,0,0,0.0
805163739.2,google,organic,(not set),1,1,1,0,0,0.0
F6241F03-A079-4E67-A00C-7CCBBE93289B,(direct),(none),(not set),1,1,1,0,0,0.0
1020859716,(direct),(none),(not set),1,1,1,0,0,0.0
104743055.2,(direct),(none),(not set),1,1,1,0,0,0.0
1059670307,google,organic,(not set),1,1,1,0,0,0.0
1106024579,google,organic,(not set),1,1,1,0,0,0.0
1219877353,google,organic,(not set),1,1,1,0,0,0.0
1224206193,google,organic,(not set),1,1,1,0,0,0.0
1293766900,(direct),(none),(not set),1,1,1,0,0,0.0
138425060.2,google,organic,(not set),1,1,3,0,2,0.0
